timestamp,irradiance_W_m2,temp_C,humidity_pct,wind_speed_kmph,precipitation_probability_pct,air_pressure_hPa,uv_index
01/01/2022 12:00,748.11,26.64,52.8,9.31,5.2,1012.92,5.8
01/01/2022 13:00,709.28,27.72,50.1,10.04,63.8,1015.17,4.75
01/01/2022 14:00,606.3,27.79,43.7,11.44,75.1,1013.51,4.45
01/01/2022 15:00,424.88,28.37,45.6,11.26,5.6,1014.24,2.51
01/01/2022 16:00,234.58,25.68,45.5,10.34,20.9,1013.22,0.9
01/01/2022 17:00,17.44,24.38,44.3,11.44,7.2,1014.71,0
01/01/2022 18:00,6,24.17,44.7,11.23,10.6,1012.12,0
01/01/2022 19:00,0,22.03,44.1,12.91,0.2,1012.98,0
01/01/2022 20:00,0,20.65,47.6,10.58,0,1014,0
01/01/2022 21:00,6.27,19.44,44.1,11.22,1.6,1011.47,0
01/01/2022 22:00,0,17.18,47.2,11.19,3.8,1013.63,0
01/01/2022 23:00,0,16.7,46.9,12.18,0,1013.53,0
02/01/2022 00:00,4.19,16.94,49.6,11.38,15.8,1013.93,0
02/01/2022 01:00,0.64,16.7,50.5,9.59,4.6,1013.58,0
02/01/2022 02:00,0,16.7,52,11.16,6.7,1015.51,0
02/01/2022 03:00,0,16.7,55.2,9.36,9,1014.75,0
02/01/2022 04:00,0,16.7,53.2,10.39,0.1,1012.88,0
02/01/2022 05:00,4.5,17.45,58,9.5,2,1012.97,0
02/01/2022 06:00,0,18.72,54.9,7.3,8.8,1012.55,0
02/01/2022 07:00,48.59,20.47,53,11.23,5.3,1012.3,0
02/01/2022 08:00,291.17,22.22,55.4,8.23,12.7,1010.65,0.9
02/01/2022 09:00,473.11,23.58,54.6,9.51,7.6,1012.22,2.55
02/01/2022 10:00,638.33,24.8,52.4,9.45,20.4,1014.28,4.32
02/01/2022 11:00,733.16,25.76,51.8,7.75,0,1012.14,5.2
02/01/2022 12:00,730.48,26.76,49.7,9.58,6.2,1015.18,6
02/01/2022 13:00,704.39,27.6,50.2,10.34,2.4,1013.15,4.87
02/01/2022 14:00,583.83,28.01,49.9,10.14,11.6,1011.92,4.06
02/01/2022 15:00,428.56,27.94,44.9,13.13,13.1,1013.34,2.55
02/01/2022 16:00,227.77,25.76,45.7,12.29,0,1012.41,0.79
02/01/2022 17:00,24.36,25.44,46.5,11.19,2.2,1012.77,0
02/01/2022 18:00,0,23.77,45.5,10.85,8.3,1012.7,0
02/01/2022 19:00,0,22.69,46.4,11.29,10.4,1012.75,0
02/01/2022 20:00,0,20.74,44.7,13.46,1.4,1011.73,0
02/01/2022 21:00,0,19.76,45.2,11.08,3.1,1012.97,0
02/01/2022 22:00,0,17.56,44,12.41,7.6,1011.64,0
02/01/2022 23:00,0,16.7,50.1,11.93,14.5,1012.17,0
03/01/2022 00:00,7.05,16.7,50.2,12.93,2.5,1012.87,0
03/01/2022 01:00,9.72,16.7,51.8,11.75,10.8,1012.48,0
03/01/2022 02:00,0,16.7,53.2,8.24,6.2,1013.13,0
03/01/2022 03:00,0,16.7,55.5,8.25,8.3,1013.65,0
03/01/2022 04:00,0,16.7,57.9,10.34,16.6,1013.64,0
03/01/2022 05:00,9.21,17.66,57.1,8.92,4.6,1012.54,0
03/01/2022 06:00,3.7,18.98,56.5,8.37,3,1011.47,0
03/01/2022 07:00,68.75,20.13,54.5,8.67,0,1012.77,0
03/01/2022 08:00,286.35,22.08,55.1,7.74,6.5,1014.06,0.96
03/01/2022 09:00,495.52,23.27,54.5,9.18,0,1012.72,2.52
03/01/2022 10:00,632.92,24.43,53.4,6.25,13.7,1014.22,4.28
03/01/2022 11:00,724.32,26.08,52.2,9.75,6.1,1013.68,4.81
03/01/2022 12:00,754.85,26.43,51.6,9.1,6.4,1013.4,5.67
03/01/2022 13:00,726.25,27.3,49.2,10.03,6,1013.73,5.17
03/01/2022 14:00,591.79,27.55,49.4,10.61,4.8,1012.48,3.95
03/01/2022 15:00,423.65,28.04,43.4,10.64,6.3,1014.54,2.38
03/01/2022 16:00,227.54,25.2,45,10.41,10.5,1013.09,0.79
03/01/2022 17:00,9.86,24.64,43.3,10.5,0,1013.17,0
03/01/2022 18:00,0,23.7,44.4,10.18,7,1013.39,0
03/01/2022 19:00,0,22.41,44.8,11.65,2.1,1012.43,0
03/01/2022 20:00,0,20.82,44.7,12.92,8.8,1013.3,0
03/01/2022 21:00,0,19.64,45.6,11.82,14,1013.54,0
03/01/2022 22:00,11.62,17.6,47.2,12.42,6.9,1012.83,0
03/01/2022 23:00,0,16.7,47.1,11.79,8.5,1012.81,0
04/01/2022 00:00,0,16.7,49.6,9.68,0,1011.24,0
